Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition, Pressure
175474, 0, 2, 66, 40, 484, 0, 0, 0
498, 0, 2, 68, 42, 2322, 0, 0, 0
514, 0, 2, 68, 43, 2339, 0, 0, 0
528, 0, 3, 66, 42, 2358, 0, 0, 0
543, 0, 2, 66, 43, 2374, 0, 0, 0
564, 0, 0, 66, 42, 2390, 0, 0, 0
579, 0, 2, 65, 41, 2407, 0, 0, 0
599, 0, 2, 66, 41, 2424, 0, 0, 0
609, 0, 2, 65, 42, 2439, 0, 0, 0
629, 0, 3, 66, 44, 2458, 0, 0, 0
650, 0, 2, 67, 43, 2474, 0, 0, 0
660, 0, 3, 66, 41, 2489, 0, 0, 0
679, 0, 2, 66, 42, 2508, 0, 0, 0
695, 0, 2, 66, 42, 2522, 0, 0, 0
710, 0, 3, 67, 41, 2539, 0, 0, 0
731, 0, 3, 67, 43, 2556, 0, 0, 0
745, 0, 3, 66, 42, 2572, 0, 0, 0
765, 0, 2, 66, 42, 2592, 0, 0, 0
781, 0, 2, 66, 42, 2609, 0, 0, 0
796, 0, 2, 66, 42, 2623, 0, 0, 0
812, 0, 4, 67, 41, 2641, 0, 0, 0
826, 0, 3, 66, 42, 2657, 0, 0, 0
846, 0, 2, 67, 42, 2673, 0, 0, 0
857, 0, 2, 67, 42, 2689, 0, 0, 0
877, 0, 2, 66, 42, 2706, 0, 0, 0
897, 0, 2, 66, 42, 2725, 0, 0, 0
912, 0, 2, 65, 43, 2741, 0, 0, 0
932, 0, 2, 68, 42, 2755, 0, 0, 0
948, 0, 3, 68, 42, 2773, 0, 0, 0
962, 0, 3, 69, 42, 2791, 0, 0, 0
977, 0, 3, 67, 44, 2805, 0, 0, 0
998, 0, 2, 66, 42, 2823, 0, 0, 0
1013, 0, 2, 66, 42, 2840, 0, 0, 0
1029, 0, 4, 67, 42, 2857, 0, 0, 0
1044, 0, 3, 66, 41, 2872, 0, 0, 0
1064, 0, 2, 66, 41, 2892, 0, 0, 0
1080, 0, 2, 66, 41, 2906, 0, 0, 0
1095, 0, 2, 67, 41, 2922, 0, 0, 0
1115, 0, 2, 66, 41, 2941, 0, 0, 0
1125, 0, 3, 66, 41, 2957, 0, 0, 0
1145, 0, 3, 67, 41, 2975, 0, 0, 0
1166, 0, 2, 67, 41, 2991, 0, 0, 0
1181, 0, 2, 66, 41, 3008, 0, 0, 0
1197, 0, 2, 68, 41, 3023, 0, 0, 0
1212, 0, 3, 69, 41, 3041, 0, 0, 0
1227, 0, 2, 68, 42, 3058, 0, 0, 0
1248, 0, 3, 67, 42, 3073, 0, 0, 0
1263, 0, 2, 67, 42, 3090, 0, 0, 0
1278, 0, 3, 68, 43, 3107, 0, 0, 0
1294, 0, 2, 67, 42, 3123, 0, 0, 0
1309, 0, 2, 69, 42, 3140, 0, 0, 0
1330, 0, 2, 69, 42, 3156, 0, 0, 0
1349, 0, 2, 67, 42, 3176, 0, 0, 0
1364, 0, 2, 67, 43, 3191, 0, 0, 0
1380, 0, 3, 68, 41, 3207, 0, 0, 0
1395, 0, 2, 68, 41, 3223, 0, 0, 0
1416, 0, 2, 67, 41, 3241, 0, 0, 0
1431, 0, 2, 68, 42, 3257, 0, 0, 0
1446, 0, 2, 67, 42, 3273, 0, 0, 0
1462, 0, 2, 69, 42, 3291, 0, 0, 0
1477, 0, 1, 68, 42, 3307, 0, 0, 0
1498, 0, 2, 68, 42, 3323, 0, 0, 0
1513, 0, 3, 66, 43, 3340, 0, 0, 0
1528, 0, 2, 68, 45, 3356, 0, 0, 0
1544, 0, 3, 67, 42, 3374, 0, 0, 0
1559, 0, 3, 66, 42, 3391, 0, 0, 0
1579, 0, 2, 67, 42, 3406, 0, 0, 0
1594, 0, 3, 67, 42, 3424, 0, 0, 0
1609, 0, 2, 68, 43, 3439, 0, 0, 0
1630, 0, 3, 67, 44, 3459, 0, 0, 0
1640, 0, 2, 67, 44, 3473, 0, 0, 0
1666, 0, 3, 67, 43, 3491, 0, 0, 0
1681, 0, 2, 68, 42, 3506, 0, 0, 0
1696, 0, 2, 67, 43, 3523, 0, 0, 0
1712, 0, 2, 67, 42, 3540, 0, 0, 0
1727, 0, 3, 68, 43, 3558, 0, 0, 0
1747, 0, 3, 69, 43, 3573, 0, 0, 0
1763, 0, 2, 69, 43, 3591, 0, 0, 0
1778, 0, 2, 68, 44, 3607, 0, 0, 0
1799, 0, 2, 68, 44, 3625, 0, 0, 0
1813, 0, 2, 68, 43, 3640, 0, 0, 0
1828, 0, 3, 67, 43, 3658, 0, 0, 0
1844, 0, 3, 67, 43, 3673, 0, 0, 0
1859, 0, 2, 67, 43, 3690, 0, 0, 0
1880, 0, 2, 69, 42, 3708, 0, 0, 0
1890, 0, 2, 68, 43, 3722, 0, 0, 0
1910, 0, 3, 68, 43, 3741, 0, 0, 0
1931, 0, 2, 69, 45, 3757, 0, 0, 0
1946, 0, 2, 68, 43, 3774, 0, 0, 0
1961, 0, 3, 67, 43, 3789, 0, 0, 0
1977, 0, 2, 68, 43, 3807, 0, 0, 0
1997, 0, 2, 68, 43, 3822, 0, 0, 0
2013, 0, 2, 68, 43, 3840, 0, 0, 0
2028, 0, 2, 68, 45, 3856, 0, 0, 0
2043, 0, 2, 67, 43, 3873, 0, 0, 0
2058, 0, 2, 68, 42, 3890, 0, 0, 0
2078, 0, 2, 69, 44, 3907, 0, 0, 0
2094, 0, 4, 67, 44, 3922, 0, 0, 0
2114, 0, 2, 68, 42, 3942, 0, 0, 0
2129, 0, 3, 67, 42, 3958, 0, 0, 1
2145, 0, 3, 67, 43, 3974, 0, 0, 1
2160, 0, 3, 67, 44, 3990, 0, 0, 1
2181, 0, 2, 68, 45, 4008, 0, 0, 1
2196, 0, 3, 67, 43, 4025, 0, 0, 1
2211, 0, 2, 68, 45, 4040, 0, 0, 1
2227, 0, 2, 68, 44, 4057, 0, 0, 1
2247, 0, 2, 68, 44, 4074, 0, 0, 1
2263, 0, 3, 68, 44, 4089, 0, 0, 1
2283, 0, 1, 67, 44, 4108, 0, 0, 1
2293, 0, 3, 69, 44, 4122, 0, 0, 1
2313, 0, 2, 67, 45, 4141, 0, 0, 1
2328, 0, 3, 68, 44, 4158, 0, 0, 1
2349, 0, 3, 69, 44, 4175, 0, 0, 1
2364, 0, 4, 68, 44, 4191, 0, 0, 1
2379, 0, 2, 68, 45, 4207, 0, 0, 1
2395, 0, 2, 68, 44, 4224, 0, 0, 1
2410, 0, 1, 70, 43, 4241, 0, 0, 1
2430, 0, 3, 68, 47, 4257, 0, 0, 1
2446, 0, 4, 68, 45, 4274, 0, 0, 1
2461, 0, 1, 68, 42, 4291, 0, 0, 1
2477, 0, 2, 69, 44, 4308, 0, 0, 1
2497, 0, 3, 68, 44, 4324, 0, 0, 1
2512, 0, 2, 67, 45, 4339, 0, 0, 1
2533, 0, 2, 68, 44, 4358, 0, 0, 1
2547, 0, 2, 70, 45, 4374, 0, 0, 1
2557, 0, 2, 67, 44, 4390, 0, 0, 1
2578, 0, 3, 68, 44, 4407, 0, 0, 1
2598, 0, 2, 69, 45, 4424, 0, 0, 1
2614, 0, 3, 68, 52, 4440, 0, 0, 1
2629, 0, 3, 69, 53, 4458, 0, 0, 1
2644, 0, 2, 68, 55, 4474, 0, 0, 1
2660, 0, 3, 68, 55, 4490, 0, 0, 1
2680, 0, 2, 67, 53, 4508, 0, 0, 1
2696, 0, 3, 68, 55, 4523, 0, 0, 1
2711, 0, 3, 68, 55, 4539, 0, 0, 1
2721, 0, 2, 68, 52, 4556, 0, 0, 1
2747, 0, 2, 69, 52, 4580, 0, 0, 1
2762, 0, 3, 67, 52, 4589, 0, 0, 1
2782, 0, 2, 66, 51, 4610, 0, 0, 1
2792, 0, 2, 67, 51, 4623, 0, 0, 1
2807, 0, 2, 68, 51, 4640, 0, 0, 1
2828, 0, 2, 68, 51, 4656, 0, 0, 1
2848, 0, 2, 68, 51, 4678, 0, 0, 1
2869, 0, 3, 69, 52, 4695, 0, 0, 1
2884, 0, 3, 68, 51, 4712, 0, 0, 1
2899, 0, 2, 68, 52, 4731, 0, 0, 1
2915, 0, 2, 68, 51, 4745, 0, 0, 1
2930, 0, 2, 68, 52, 4763, 0, 0, 1
2951, 0, 2, 69, 51, 4781, 0, 0, 1
2956, 0, 4, 68, 51, 4797, 0, 0, 1
2985, 0, 2, 68, 52, 4814, 0, 0, 1
3006, 0, 2, 68, 52, 4834, 0, 0, 1
3016, 0, 3, 68, 51, 4856, 0, 0, 1
3042, 0, 2, 67, 51, 4874, 0, 0, 1
3062, 0, 1, 70, 50, 4891, 0, 0, 1
3078, 0, 3, 68, 49, 4907, 0, 0, 1
3088, 0, 3, 68, 50, 4930, 0, 0, 1
3103, 0, 4, 69, 50, 4941, 0, 0, 1
3129, 0, 3, 68, 52, 4958, 0, 0, 1
3149, 0, 3, 71, 51, 4976, 0, 0, 1
3160, 0, 2, 69, 50, 4991, 0, 0, 1
3180, 0, 2, 68, 51, 5007, 0, 0, 1
3190, 0, 3, 69, 52, 5024, 0, 0, 1
3210, 0, 3, 69, 50, 5041, 0, 0, 1
3225, 0, 2, 68, 51, 5058, 0, 0, 1
3246, 0, 3, 69, 50, 5075, 0, 0, 1
3261, 0, 2, 67, 51, 5091, 0, 0, 1
3281, 0, 3, 66, 51, 5113, 0, 0, 1
3297, 0, 2, 68, 51, 5125, 0, 0, 1
3312, 0, 2, 69, 51, 5141, 0, 0, 1
3333, 0, 4, 68, 51, 5160, 0, 0, 1
3348, 0, 3, 68, 52, 5175, 0, 0, 1
3363, 0, 1, 67, 50, 5191, 0, 0, 1
3379, 0, 2, 68, 49, 5207, 0, 0, 1
3404, 0, 3, 68, 51, 5233, 0, 0, 1
3408, 0, 2, 72, 50, 5242, 0, 0, 1
