Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #
666,  100, 400, 600, 800, 503, 0
666,  100, 400, 600, 800, 3325, 0
666,  100, 400, 600, 800, 3341, 0
666,  100, 400, 600, 800, 3399, 0
666,  100, 400, 600, 800, 3415, 0
666,  100, 400, 600, 800, 3432, 0
666,  100, 400, 600, 800, 3447, 0
666,  100, 400, 600, 800, 3465, 0
666,  100, 400, 600, 800, 3482, 0
666,  100, 400, 600, 800, 3497, 0
666,  100, 400, 600, 800, 3515, 0
666,  100, 400, 600, 800, 3531, 0
666,  100, 400, 600, 800, 3548, 0
666,  100, 400, 600, 800, 3566, 0
666,  100, 400, 600, 800, 3581, 0
666,  100, 400, 600, 800, 3608, 0
666,  100, 400, 600, 800, 3616, 0
666,  100, 400, 600, 800, 3631, 0
666,  100, 400, 600, 800, 3648, 0
666,  100, 400, 600, 800, 3664, 0
666,  100, 400, 600, 800, 3682, 0
666,  100, 400, 600, 800, 3698, 0
666,  100, 400, 600, 800, 3717, 0
666,  100, 400, 600, 800, 3731, 0
666,  100, 400, 600, 800, 3748, 0
666,  100, 400, 600, 800, 3767, 0
666,  100, 400, 600, 800, 3781, 0
666,  100, 400, 600, 800, 3808, 0
666,  100, 400, 600, 800, 3817, 0
666,  100, 400, 600, 800, 3837, 0
666,  100, 400, 600, 800, 3848, 0
666,  100, 400, 600, 800, 3864, 0
666,  100, 400, 600, 800, 3881, 0
666,  100, 400, 600, 800, 3898, 0
666,  100, 400, 600, 800, 3915, 0
666,  100, 400, 600, 800, 3931, 0
666,  100, 400, 600, 800, 3947, 0
666,  100, 400, 600, 800, 3965, 0
666,  100, 400, 600, 800, 3982, 0
666,  100, 400, 600, 800, 4000, 0
666,  100, 400, 600, 800, 4015, 0
666,  100, 400, 600, 800, 4031, 0
666,  100, 400, 600, 800, 4049, 0
666,  100, 400, 600, 800, 4066, 0
666,  100, 400, 600, 800, 4081, 0
666,  100, 400, 600, 800, 4099, 0
666,  100, 400, 600, 800, 4114, 0
666,  100, 400, 600, 800, 4133, 0
666,  100, 400, 600, 800, 4148, 0
666,  100, 400, 600, 800, 4165, 0
666,  100, 400, 600, 800, 4182, 0
666,  100, 400, 600, 800, 4200, 0
666,  100, 400, 600, 800, 4215, 0
666,  100, 400, 600, 800, 4231, 0
666,  100, 400, 600, 800, 4250, 0
666,  100, 400, 600, 800, 4266, 0
666,  100, 400, 600, 800, 4282, 0
666,  100, 400, 600, 800, 4299, 0
666,  100, 400, 600, 800, 4318, 0
666,  100, 400, 600, 800, 4332, 0
666,  100, 400, 600, 800, 4348, 0
666,  100, 400, 600, 800, 4365, 0
666,  100, 400, 600, 800, 4383, 0
666,  100, 400, 600, 800, 4398, 0
666,  100, 400, 600, 800, 4416, 0
666,  100, 400, 600, 800, 4435, 0
666,  100, 400, 600, 800, 4448, 0
