Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition
666,  100, 400, 600, 800, 590, 0, 0
3454, 0, 0, 251, 0, 5328, 0, 0
3474, 0, 0, 277, 0, 5345, 0, 0
3494, 0, 0, 383, 0, 5362, 0, 0
3515, 0, 0, 433, 0, 5385, 0, 0
3534, 0, 0, 451, 0, 5403, 0, 0
3545, 0, 0, 0, 0, 5418, 0, 0
3565, 0, 0, 0, 0, 5434, 0, 0
3580, 0, 0, 0, 0, 5450, 0, 0
3601, 0, 0, 0, 0, 5470, 0, 0
3610, 0, 0, 397, 0, 5485, 0, 0
3631, 0, 0, 402, 0, 5501, 0, 0
3651, 0, 0, 397, 0, 5517, 0, 0
3666, 0, 0, 18, 0, 5535, 0, 0
3682, 0, 0, 0, 0, 5550, 0, 0
3701, 0, 0, 0, 0, 5570, 0, 0
3712, 0, 0, 435, 0, 5583, 0, 0
3737, 0, 0, 308, 0, 5602, 0, 0
3747, 0, 0, 141, 0, 5616, 0, 0
3768, 0, 0, 170, 0, 5635, 0, 0
3778, 0, 0, 219, 0, 5649, 0, 0
3798, 0, 0, 197, 0, 5672, 0, 0
3818, 0, 0, 203, 0, 5684, 0, 0
3833, 0, 0, 565, 0, 5702, 0, 0
3849, 0, 0, 297, 0, 5719, 0, 0
3864, 0, 0, 0, 0, 5733, 0, 0
3884, 0, 0, 0, 0, 5752, 0, 0
3904, 0, 0, 0, 0, 5769, 0, 0
3914, 0, 0, 428, 0, 5785, 0, 0
3930, 0, 0, 375, 0, 5802, 0, 0
3950, 0, 0, 401, 0, 5819, 0, 0
3964, 0, 0, 0, 0, 5834, 0, 0
3980, 0, 0, 0, 0, 5853, 0, 0
3995, 0, 0, 409, 0, 5868, 0, 0
4016, 0, 0, 425, 0, 5884, 0, 0
4030, 0, 0, 432, 0, 5901, 0, 0
4045, 0, 0, 34, 0, 5919, 0, 0
4066, 0, 0, 16, 0, 5935, 0, 0
4076, 0, 0, 163, 0, 5951, 0, 0
4102, 0, 0, 0, 0, 5968, 0, 0
4116, 0, 0, 276, 0, 5984, 0, 0
4131, 0, 0, 487, 0, 6001, 0, 0
4147, 0, 0, 123, 0, 6018, 0, 0
4162, 0, 0, 0, 0, 6035, 0, 0
4183, 0, 0, 0, 0, 6052, 0, 0
4198, 0, 0, 266, 0, 6069, 0, 0
4213, 1, 0, 708, 0, 6085, 0, 0
4228, 1, 0, 19, 0, 6102, 0, 0
4248, 0, 0, 12, 0, 6119, 0, 0
4263, 0, 0, 22, 0, 6136, 0, 0
4279, 0, 0, 29, 0, 6151, 0, 0
4293, 0, 0, 0, 0, 6169, 0, 0
4314, 0, 0, 0, 0, 6186, 0, 0
4334, 0, 0, 0, 0, 6202, 0, 0
4348, 0, 0, 0, 0, 6218, 0, 0
4364, 0, 0, 39, 0, 6234, 0, 0
4384, 0, 0, 44, 0, 6253, 0, 0
4399, 0, 0, 29, 0, 6269, 0, 0
4414, 0, 0, 0, 0, 6284, 0, 0
4434, 0, 0, 0, 0, 6304, 0, 0
4449, 0, 0, 0, 0, 6320, 0, 0
4464, 0, 0, 73, 0, 6335, 0, 0
4480, 0, 0, 47, 0, 6351, 0, 0
4499, 0, 0, 43, 0, 6370, 0, 0
4514, 0, 0, 0, 0, 6384, 0, 0
4530, 0, 0, 0, 0, 6401, 0, 0
4550, 0, 0, 0, 0, 6419, 0, 0
4564, 0, 0, 21, 0, 6434, 0, 0
4580, 0, 0, 16, 0, 6451, 0, 0
4600, 0, 0, 11, 0, 6469, 0, 0
4615, 0, 0, 0, 0, 6484, 0, 0
4630, 0, 0, 0, 0, 6504, 0, 0
4649, 0, 0, 0, 0, 6517, 0, 0
4665, 0, 0, 6, 0, 6535, 0, 0
4685, 0, 0, 5, 0, 6552, 0, 0
4695, 0, 0, 5, 0, 6568, 0, 0
4715, 0, 0, 10, 0, 6587, 0, 0
