Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition, Pressure
20001, 44, 2, 78, 0, 662, 0, 0, 0
2082, 49, 1, 71, 0, 4052, 0, 0, 0
2097, 49, 0, 71, 0, 4066, 0, 0, 0
2122, 49, 0, 71, 0, 4092, 0, 0, 0
2132, 49, 0, 71, 0, 4099, 0, 0, 0
2148, 47, 0, 71, 0, 4119, 0, 0, 0
2163, 48, 0, 71, 0, 4133, 0, 0, 0
2184, 48, 0, 71, 0, 4152, 0, 0, 0
2199, 48, 1, 71, 0, 4167, 0, 0, 0
2214, 48, 1, 71, 0, 4182, 0, 0, 0
2235, 48, 0, 71, 0, 4202, 0, 0, 0
2250, 49, 0, 72, 0, 4216, 0, 0, 0
2266, 48, 0, 71, 0, 4237, 0, 0, 0
2281, 48, 0, 72, 0, 4250, 0, 0, 0
2301, 49, 1, 71, 0, 4266, 0, 0, 0
2322, 49, 1, 71, 0, 4286, 0, 0, 0
2332, 49, 0, 72, 0, 4299, 0, 0, 0
2348, 49, 1, 71, 0, 4316, 0, 0, 0
2363, 49, 1, 71, 0, 4333, 0, 0, 0
2383, 49, 0, 71, 0, 4350, 0, 0, 0
2404, 49, 0, 71, 0, 4370, 0, 0, 0
2419, 49, 1, 71, 0, 4383, 0, 0, 0
2435, 49, 1, 71, 0, 4400, 0, 0, 0
2449, 49, 0, 71, 0, 4416, 0, 0, 0
2469, 49, 0, 71, 0, 4434, 0, 0, 0
2485, 49, 0, 71, 0, 4450, 0, 0, 0
2500, 49, 0, 72, 0, 4467, 0, 0, 0
2515, 49, 1, 71, 0, 4481, 0, 0, 0
2531, 49, 0, 72, 0, 4500, 0, 0, 0
2551, 49, 0, 72, 0, 4520, 0, 0, 0
2567, 49, 1, 71, 0, 4532, 0, 0, 0
2582, 49, 1, 71, 0, 4550, 0, 0, 0
2597, 49, 0, 71, 0, 4566, 0, 0, 0
2613, 50, 1, 71, 0, 4583, 0, 0, 0
2633, 49, 0, 71, 0, 4599, 0, 0, 0
2649, 49, 1, 71, 0, 4615, 0, 0, 0
2664, 49, 0, 71, 0, 4632, 0, 0, 0
2679, 49, 1, 72, 0, 4656, 0, 0, 0
2695, 50, 0, 71, 0, 4665, 0, 0, 0
2715, 50, 1, 71, 0, 4683, 0, 0, 0
2731, 49, 2, 70, 0, 4701, 0, 0, 0
2756, 50, 1, 71, 0, 4721, 0, 0, 0
2766, 49, 0, 72, 0, 4733, 0, 0, 0
2781, 49, 1, 71, 0, 4749, 0, 0, 0
2796, 49, 1, 71, 0, 4766, 0, 0, 0
2817, 49, 1, 71, 0, 4783, 0, 0, 0
2832, 49, 1, 71, 0, 4799, 0, 0, 0
2847, 49, 1, 70, 0, 4816, 0, 0, 0
2863, 49, 0, 71, 0, 4833, 0, 0, 0
2883, 49, 0, 71, 0, 4853, 0, 0, 0
2898, 49, 0, 71, 0, 4871, 0, 0, 0
2924, 50, 1, 71, 0, 4890, 0, 0, 0
2939, 49, 1, 71, 0, 4906, 0, 0, 0
2955, 49, 1, 72, 0, 4923, 0, 0, 0
2970, 49, 0, 71, 0, 4938, 0, 0, 0
2985, 49, 0, 71, 0, 4956, 0, 0, 0
3006, 49, 0, 72, 0, 4972, 0, 0, 0
3021, 50, 0, 72, 0, 4988, 0, 0, 0
3037, 49, 1, 71, 0, 5006, 0, 0, 0
3052, 49, 1, 72, 0, 5021, 0, 0, 0
3073, 50, 0, 72, 0, 5040, 0, 0, 0
3088, 49, 0, 73, 0, 5055, 0, 0, 0
3107, 49, 1, 72, 0, 5071, 0, 0, 0
3123, 49, 1, 71, 0, 5087, 0, 0, 0
3138, 49, 0, 72, 0, 5107, 0, 0, 0
3153, 50, 1, 72, 0, 5124, 0, 0, 0
3169, 49, 0, 72, 0, 5138, 0, 0, 0
3189, 50, 1, 71, 0, 5156, 0, 0, 0
