Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition, Pressure
241100, 0, 2, 74, 81, 422, 0, 0, 0
2423, 0, 1, 67, 69, 4151, 0, 0, 0
2439, 0, 0, 68, 68, 4167, 0, 0, 0
2459, 0, 0, 66, 68, 4185, 0, 0, 0
2510, 0, 0, 67, 67, 4241, 0, 0, 0
2531, 0, 1, 70, 68, 4258, 0, 0, 0
2551, 0, 1, 68, 70, 4275, 0, 0, 0
2562, 0, 0, 68, 71, 4290, 0, 0, 0
2577, 0, 0, 67, 69, 4303, 0, 0, 0
2596, 0, 2, 69, 73, 4324, 0, 0, 0
2607, 0, 0, 67, 73, 4336, 0, 0, 0
2622, 0, 1, 68, 74, 4353, 0, 0, 0
2642, 0, 1, 69, 75, 4372, 0, 0, 0
2658, 0, 1, 67, 74, 4385, 0, 0, 0
2683, 0, 0, 69, 73, 4407, 0, 0, 0
2694, 0, 2, 67, 74, 4422, 0, 0, 0
2714, 0, 1, 68, 77, 4439, 0, 0, 0
2729, 0, 0, 68, 73, 4453, 0, 0, 0
2745, 0, 1, 68, 72, 4473, 0, 0, 0
2760, 0, 2, 69, 72, 4487, 0, 0, 0
2780, 0, 0, 67, 70, 4505, 0, 0, 0
2795, 0, 1, 68, 75, 4522, 0, 0, 0
2810, 1, 1, 68, 73, 4539, 0, 0, 0
2831, 0, 1, 68, 72, 4554, 0, 0, 0
2846, 0, 0, 69, 72, 4572, 0, 0, 0
2862, 0, 1, 68, 75, 4586, 0, 0, 0
2877, 0, 0, 68, 76, 4605, 0, 0, 0
2892, 0, 1, 69, 75, 4620, 0, 0, 0
2913, 0, 1, 69, 75, 4639, 0, 0, 0
2933, 0, 1, 69, 75, 4657, 0, 0, 0
2944, 0, 1, 69, 74, 4670, 0, 0, 0
2968, 0, 2, 70, 74, 4692, 0, 0, 0
2978, 0, 0, 69, 73, 4709, 0, 0, 0
2999, 0, 3, 68, 74, 4729, 0, 0, 0
3019, 0, 2, 68, 74, 4744, 0, 0, 0
3035, 0, 0, 69, 75, 4761, 0, 0, 0
3050, 0, 0, 68, 72, 4778, 0, 0, 0
3065, 0, 1, 67, 73, 4795, 0, 0, 0
3081, 0, 1, 68, 72, 4811, 0, 0, 0
3101, 0, 1, 68, 73, 4828, 0, 0, 0
3117, 0, 0, 69, 70, 4844, 0, 0, 0
3132, 0, 2, 70, 73, 4860, 0, 0, 0
3152, 0, 1, 69, 75, 4878, 0, 0, 0
3167, 0, 0, 72, 76, 4895, 0, 0, 0
3187, 0, 2, 72, 73, 4911, 0, 0, 0
3203, 0, 1, 69, 75, 4928, 0, 0, 0
3218, 0, 2, 69, 75, 4944, 0, 0, 0
3233, 0, 1, 69, 75, 4961, 0, 0, 0
3249, 0, 3, 68, 74, 4978, 0, 0, 0
3269, 0, 0, 70, 74, 4993, 0, 0, 0
3284, 0, 0, 68, 73, 5010, 0, 0, 0
3300, 0, 0, 68, 75, 5028, 0, 0, 0
3320, 0, 0, 66, 73, 5044, 0, 0, 0
3331, 0, 0, 66, 74, 5061, 0, 0, 0
3350, 0, 0, 68, 74, 5077, 0, 0, 0
3365, 0, 0, 68, 73, 5092, 0, 0, 0
3381, 0, 0, 67, 74, 5111, 0, 0, 0
3401, 0, 0, 68, 74, 5127, 0, 0, 0
3417, 0, 1, 68, 73, 5144, 0, 0, 0
3437, 0, 2, 69, 73, 5161, 0, 0, 0
3452, 0, 1, 68, 74, 5178, 0, 0, 0
3468, 0, 2, 68, 73, 5195, 0, 0, 0
3483, 0, 1, 67, 75, 5211, 0, 0, 0
3499, 0, 2, 68, 74, 5228, 0, 0, 0
3519, 0, 0, 69, 76, 5242, 0, 0, 0
3533, 0, 0, 68, 78, 5261, 0, 0, 0
3549, 0, 2, 68, 75, 5278, 0, 0, 0
3564, 0, 0, 68, 75, 5294, 0, 0, 0
3585, 0, 0, 68, 75, 5312, 0, 0, 0
3600, 1, 0, 68, 76, 5326, 0, 0, 0
3620, 0, 1, 68, 80, 5345, 0, 0, 0
3636, 0, 1, 70, 79, 5361, 0, 0, 0
3651, 0, 2, 69, 79, 5378, 0, 0, 0
3666, 0, 0, 69, 82, 5393, 0, 0, 0
3682, 0, 2, 68, 79, 5410, 0, 0, 0
3702, 0, 0, 69, 79, 5427, 0, 0, 0
3713, 0, 0, 69, 80, 5443, 0, 0, 0
3732, 0, 1, 68, 80, 5459, 0, 0, 0
3747, 0, 2, 67, 80, 5478, 0, 0, 0
3768, 0, 0, 68, 79, 5492, 0, 0, 0
3788, 0, 0, 68, 80, 5512, 0, 0, 0
3799, 0, 3, 66, 80, 5526, 0, 0, 0
3819, 0, 3, 68, 79, 5544, 0, 0, 0
3834, 0, 1, 68, 82, 5561, 0, 0, 0
3855, 0, 1, 69, 79, 5578, 0, 0, 0
3865, 0, 1, 69, 80, 5594, 0, 0, 0
3880, 0, 1, 69, 77, 5609, 0, 0, 0
3901, 0, 1, 68, 77, 5628, 0, 0, 0
3916, 0, 1, 70, 78, 5645, 0, 0, 0
3937, 0, 1, 69, 80, 5661, 0, 0, 0
3951, 0, 1, 70, 80, 5680, 0, 0, 0
3966, 0, 0, 68, 74, 5692, 0, 0, 0
3982, 0, 1, 67, 77, 5708, 0, 0, 0
3997, 0, 1, 68, 81, 5728, 0, 0, 0
4018, 0, 2, 69, 77, 5745, 0, 0, 0
4033, 0, 1, 68, 78, 5761, 0, 0, 0
4048, 0, 1, 70, 78, 5778, 0, 0, 0
4069, 0, 1, 71, 77, 5795, 0, 0, 0
4084, 0, 1, 68, 79, 5811, 0, 0, 0
4105, 0, 1, 69, 78, 5828, 0, 0, 0
4115, 0, 1, 70, 81, 5843, 0, 0, 0
4134, 0, 1, 69, 79, 5861, 0, 0, 0
4150, 0, 1, 69, 79, 5878, 0, 0, 0
4165, 0, 1, 70, 79, 5894, 0, 0, 0
4186, 0, 1, 69, 78, 5911, 0, 0, 0
4201, 0, 1, 69, 76, 5925, 0, 0, 0
4216, 0, 1, 70, 78, 5945, 0, 0, 0
4232, 0, 1, 69, 77, 5959, 0, 0, 0
4252, 0, 1, 69, 79, 5975, 0, 0, 0
4268, 0, 1, 68, 75, 5995, 0, 0, 0
4283, 0, 1, 70, 76, 6011, 0, 0, 0
4303, 0, 1, 69, 76, 6028, 0, 0, 0
4313, 0, 1, 69, 77, 6043, 0, 0, 0
4333, 0, 2, 70, 76, 6061, 0, 0, 0
4354, 0, 1, 69, 78, 6078, 0, 0, 0
4369, 0, 4, 69, 76, 6095, 0, 0, 0
4384, 0, 0, 70, 76, 6111, 0, 0, 0
4400, 0, 3, 70, 78, 6128, 0, 0, 0
4415, 0, 1, 71, 79, 6144, 0, 0, 0
4435, 0, 1, 71, 80, 6160, 0, 0, 0
4451, 0, 1, 70, 79, 6178, 0, 0, 0
4466, 0, 1, 70, 82, 6193, 0, 0, 0
4482, 0, 2, 70, 80, 6211, 0, 0, 0
4501, 0, 1, 69, 80, 6229, 0, 0, 0
4516, 0, 0, 71, 81, 6243, 0, 0, 0
4532, 0, 1, 70, 80, 6259, 0, 0, 0
4547, 0, 0, 71, 79, 6277, 0, 0, 0
4568, 0, 1, 67, 80, 6295, 0, 0, 0
4583, 0, 1, 70, 80, 6310, 0, 0, 0
4603, 0, 1, 69, 81, 6328, 0, 0, 0
4619, 0, 0, 68, 80, 6343, 0, 0, 0
4634, 0, 1, 70, 82, 6362, 0, 0, 0
4649, 0, 0, 70, 81, 6378, 0, 0, 0
4665, 0, 0, 70, 79, 6394, 0, 0, 0
4685, 0, 1, 70, 81, 6410, 0, 0, 0
4701, 0, 1, 69, 82, 6425, 0, 0, 0
