Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition, Pressure
436099, 0, 3, 60, 66, 366, 0, 0, 0
1457, 0, 1, 61, 67, 3192, 0, 0, 0
1471, 0, 2, 60, 65, 3206, 0, 0, 0
1486, 0, 2, 61, 67, 3223, 0, 0, 0
1507, 0, 2, 60, 66, 3241, 0, 0, 0
1522, 0, 3, 60, 65, 3256, 0, 0, 0
1543, 0, 1, 61, 66, 3274, 0, 0, 0
1553, 0, 3, 62, 66, 3289, 0, 0, 0
1573, 0, 4, 62, 67, 3306, 0, 0, 0
1589, 0, 2, 61, 67, 3324, 0, 0, 0
1604, 0, 2, 60, 68, 3340, 0, 0, 0
1625, 0, 2, 59, 68, 3356, 0, 0, 0
1640, 0, 1, 61, 67, 3371, 0, 0, 0
1655, 0, 4, 60, 67, 3388, 0, 0, 0
1670, 0, 2, 61, 67, 3407, 0, 0, 0
1690, 0, 2, 61, 67, 3424, 0, 0, 0
1705, 0, 1, 61, 66, 3440, 0, 0, 0
1726, 0, 2, 61, 66, 3457, 0, 0, 0
1736, 0, 2, 60, 66, 3472, 0, 0, 0
1757, 0, 2, 60, 68, 3490, 0, 0, 0
1772, 0, 1, 62, 65, 3505, 0, 0, 0
1787, 0, 2, 60, 65, 3522, 0, 0, 0
1808, 0, 2, 60, 67, 3540, 0, 0, 0
1823, 0, 3, 62, 68, 3557, 0, 0, 0
1839, 0, 2, 61, 68, 3574, 0, 0, 0
1854, 0, 1, 60, 69, 3589, 0, 0, 0
1873, 0, 2, 62, 67, 3606, 0, 0, 0
1889, 0, 1, 60, 68, 3624, 0, 0, 0
1909, 0, 2, 61, 67, 3641, 0, 0, 0
1920, 0, 2, 61, 69, 3656, 0, 0, 0
1940, 0, 2, 61, 68, 3672, 0, 0, 0
1960, 0, 2, 61, 67, 3692, 0, 0, 0
1976, 0, 3, 61, 68, 3706, 0, 0, 0
1986, 0, 3, 61, 69, 3722, 0, 0, 0
2001, 0, 2, 60, 66, 3739, 0, 0, 0
2022, 0, 2, 60, 66, 3757, 0, 0, 0
2042, 0, 2, 59, 67, 3772, 0, 0, 0
2058, 0, 2, 60, 66, 3790, 0, 0, 0
2068, 0, 2, 61, 67, 3805, 0, 0, 1
2087, 0, 2, 60, 65, 3822, 0, 0, 1
2103, 0, 2, 60, 65, 3838, 0, 0, 1
2123, 0, 1, 62, 67, 3856, 0, 0, 1
2139, 0, 2, 60, 66, 3874, 0, 0, 1
2154, 0, 2, 61, 66, 3891, 0, 0, 1
2174, 0, 4, 59, 66, 3907, 0, 0, 1
2190, 0, 2, 61, 66, 3922, 0, 0, 1
