User,Voltage,Stiffness,Button,Pressure,Sex,Pref,Pref2
0,0,0,1,1,2,0,0
0,1009,20.615793,1,2,2,0,0
0,1023,36.823563,1,3,2,0,0
0,31,11.483688,2,1,2,0,0
0,54,16.944992,2,2,2,0,0
0,98,19.75741,2,3,2,0,0
0,145,26.614187,3,1,2,0,0
0,52,6.750646,3,2,2,0,0
0,173,30.268444,3,3,2,0,0
0,351,1.6781324,4,1,2,0,0
0,735,NaN,4,2,2,0,0
0,835,NaN,4,3,2,0,0
1,1015,21.335594,1,1,1,0,0
1,1022,32.368004,1,2,1,0,0
1,1023,36.823563,1,3,1,0,0
1,35,11.65201,2,1,1,0,0
1,297,51.860462,2,2,1,0,0
1,436,56.634216,2,3,1,0,0
1,50,6.6398773,3,1,1,0,0
1,180,32.771423,3,2,1,0,0
1,205,40.350876,3,3,1,0,0
1,212,2.0358915,4,1,1,0,0
1,664,NaN,4,2,1,0,0
1,740,NaN,4,3,1,0,0
2,0,0,1,1,1,3,4
2,1023,36.823563,1,2,1,3,4
2,1023,36.823563,1,3,1,3,4
2,75,16.575464,2,1,1,3,4
2,123,27.88524,2,2,1,3,4
2,431,70.454544,2,3,1,3,4
2,98,12.455041,3,1,1,3,4
2,203,40.42213,3,2,1,3,4
2,209,46.943203,3,3,1,3,4
2,114,2.08147,4,1,1,3,4
2,828,NaN,4,2,1,3,4
2,904,NaN,4,3,1,3,4
3,1,4.2652025,1,1,1,1,4
3,1011,22.116835,1,2,1,1,4
3,1023,36.823563,1,3,1,1,4
3,17,10.781776,2,1,1,1,4
3,97,21.212122,2,2,1,1,4
3,545,98.613556,2,3,1,1,4
3,109,16.230627,3,1,1,1,4
3,171,30.927883,3,2,1,1,4
3,213,42.679455,3,3,1,1,4
3,304,1.731293,4,1,1,1,4
3,616,NaN,4,2,1,1,4
3,734,NaN,4,3,1,1,4
4,0,0,1,1,1,4,0
4,1023,36.823563,1,2,1,4,0
4,1023,36.823563,1,3,1,4,0
4,32,10.30777,2,1,1,4,0
4,141,32.34421,2,2,1,4,0
4,572,96.56787,2,3,1,4,0
4,105,14.299979,3,1,1,4,0
4,187,38.35473,3,2,1,4,0
4,167,31.126614,3,3,1,4,0
4,700,NaN,4,1,1,4,0
4,864,NaN,4,2,1,4,0
4,729,NaN,4,3,1,4,0
5,1019,31.833275,1,1,1,1,3
5,1014,21.210333,1,2,1,1,3
5,1023,36.823563,1,3,1,1,3
5,103,21.226257,2,1,1,1,3
5,268,33.532932,2,2,1,1,3
5,687,NaN,2,3,1,1,3
5,104,16.072832,3,1,1,1,3
5,279,NaN,3,2,1,1,3
5,263,54.239872,3,3,1,1,3
5,530,1.9614823,4,1,1,1,3
5,780,NaN,4,2,1,1,3
5,1023,NaN,4,3,1,1,3
6,1,4.2652025,1,1,1,4,3
6,1023,36.823563,1,2,1,4,3
6,1023,36.823563,1,3,1,4,3
6,135,29.870953,2,1,1,4,3
6,55,13.806504,2,2,1,4,3
6,124,18.13018,2,3,1,4,3
6,119,18.733015,3,1,1,4,3
6,155,26.494856,3,2,1,4,3
6,215,42.563877,3,3,1,4,3
6,114,2.08147,4,1,1,4,3
6,760,NaN,4,2,1,4,3
6,772,NaN,4,3,1,4,3
7,0,0,1,1,1,3,1
7,1022,32.368004,1,2,1,3,1
7,1023,36.823563,1,3,1,3,1
7,9,NaN,2,1,1,3,1
7,252,42.78481,2,2,1,3,1
7,49,12.361722,2,3,1,3,1
7,105,14.299979,3,1,1,3,1
7,134,21.962276,3,2,1,3,1
7,181,32.688953,3,3,1,3,1
7,36,3.0720828,4,1,1,3,1
7,658,NaN,4,2,1,3,1
7,757,NaN,4,3,1,3,1
8,2,0,1,1,2,3,1
8,1002,18.18061,1,2,2,3,1
8,1023,36.823563,1,3,2,3,1
8,26,11.269635,2,1,2,3,1
8,78,16.26506,2,2,2,3,1
8,353,38.359043,2,3,2,3,1
8,121,16.995352,3,1,2,3,1
8,148,23.441624,3,2,2,3,1
8,197,39.679405,3,3,2,3,1
8,157,1.7449526,4,1,2,3,1
8,560,1.970127,4,2,2,3,1
8,822,NaN,4,3,2,3,1
9,1,4.2652025,1,1,2,4,2
9,0,0,1,2,2,4,2
9,1023,36.823563,1,3,2,4,2
9,11,NaN,2,1,2,4,2
9,25,9.229091,2,2,2,4,2
9,97,21.212122,2,3,2,4,2
9,101,13.8830185,3,1,2,4,2
9,96,13.254797,3,2,2,4,2
9,121,16.995352,3,3,2,4,2
9,62,2.511836,4,1,2,4,2
9,229,2.23784,4,2,2,4,2
9,745,NaN,4,3,2,4,2
10,0,NaN,1,1,1,2,3
10,0,NaN,1,2,1,2,3
10,1022,32.368004,1,3,1,2,3
10,16,17.148783,2,1,1,2,3
10,25,9.229091,2,2,1,2,3
10,76,17.736189,2,3,1,2,3
10,92,11.490057,3,1,1,2,3
10,124,18.312073,3,2,1,2,3
10,160,29.885036,3,3,1,2,3
10,122,1.9881586,4,1,1,2,3
10,235,1.9961933,4,2,1,2,3
10,679,NaN,4,3,1,2,3
11,0,0,1,1,2,3,1
11,1,4.2652025,1,2,2,3,1
11,1022,32.368004,1,3,2,3,1
11,8,NaN,2,1,2,3,1
11,47,9.597693,2,2,2,3,1
11,30,9.563208,2,3,2,3,1
11,122,20.044802,3,1,2,3,1
11,136,23.382318,3,2,2,3,1
11,170,30.533098,3,3,2,3,1
11,95,2.0865817,4,1,2,3,1
11,634,NaN,4,2,2,3,1
11,833,NaN,4,3,2,3,1
12,984,11.689171,1,1,1,3,1
12,1020,29.549076,1,2,1,3,1
12,1019,31.833275,1,3,1,3,1
12,11,NaN,2,1,1,3,1
12,31,11.483688,2,2,1,3,1
12,101,16.016123,2,3,1,3,1
12,110,16.60405,3,1,1,3,1
12,138,24.095114,3,2,1,3,1
12,157,25.892332,3,3,1,3,1
12,112,1.9915489,4,1,1,3,1
12,735,NaN,4,2,1,3,1
12,726,NaN,4,3,1,3,1
13,1001,15.526337,1,1,1,4,2
13,1023,36.823563,1,2,1,4,2
13,1023,36.823563,1,3,1,4,2
13,175,NaN,2,1,1,4,2
13,70,20.657278,2,2,1,4,2
13,712,122.898346,2,3,1,4,2
13,130,21.41754,3,1,1,4,2
13,178,33.407955,3,2,1,4,2
13,201,38.52936,3,3,1,4,2
13,641,NaN,4,1,1,4,2
13,735,NaN,4,2,1,4,2
13,773,NaN,4,3,1,4,2
14,1019,31.833275,1,1,2,3,4
14,1023,36.823563,1,2,2,3,4
14,1023,36.823563,1,3,2,3,4
14,39,13.025566,2,1,2,3,4
14,73,17.493418,2,2,2,3,4
14,58,17.222221,2,3,2,3,4
14,118,18.576075,3,1,2,3,4
14,197,39.679405,3,2,2,3,4
14,193,37.90477,3,3,2,3,4
14,320,2.0934916,4,1,2,3,4
14,869,NaN,4,2,2,3,4
14,869,NaN,4,3,2,3,4
15,0,0,1,1,1,3,1
15,2,NaN,1,2,1,3,1
15,1022,32.368004,1,3,1,3,1
15,8,NaN,2,1,1,3,1
15,0,0,2,2,1,3,1
15,368,61.952194,2,3,1,3,1
15,70,7.372063,3,1,1,3,1
15,140,24.200832,3,2,1,3,1
15,142,23.203163,3,3,1,3,1
15,67,6.187379,4,1,1,3,1
15,490,1.9661685,4,2,1,3,1
15,810,NaN,4,3,1,3,1
16,1010,16.280273,1,1,2,4,2
16,1017,22.783392,1,2,2,4,2
16,1023,36.823563,1,3,2,4,2
16,212,28.71122,2,1,2,4,2
16,416,67.910355,2,2,2,4,2
16,611,87.772194,2,3,2,4,2
16,229,47.93879,3,1,2,4,2
16,281,NaN,3,2,2,4,2
16,290,NaN,3,3,2,4,2
16,407,2.0228786,4,1,2,4,2
16,832,NaN,4,2,2,4,2
16,863,NaN,4,3,2,4,2
17,0,0,1,1,2,3,1
17,982,16.146734,1,2,2,3,1
17,1019,31.833275,1,3,2,3,1
17,10,NaN,2,1,2,3,1
17,25,9.229091,2,2,2,3,1
17,175,NaN,2,3,2,3,1
17,89,11.764251,3,1,2,3,1
17,157,25.892332,3,2,2,3,1
17,179,30.956415,3,3,2,3,1
17,68,2.4261851,4,1,2,3,1
17,409,2.1048646,4,2,2,3,1
17,833,NaN,4,3,2,3,1
18,1,4.2652025,1,1,1,3,4
18,1014,21.210333,1,2,1,3,4
18,1014,21.210333,1,3,1,3,4
18,19,12.532515,2,1,1,3,4
18,29,9.559154,2,2,1,3,4
18,36,11.3693075,2,3,1,3,4
18,110,16.60405,3,1,1,3,4
18,158,27.483997,3,2,1,3,4
18,153,28.467508,3,3,1,3,4
18,158,1.1392149,4,1,1,3,4
18,472,1.8880132,4,2,1,3,4
18,706,NaN,4,3,1,3,4
19,1002,18.18061,1,1,2,1,4
19,1014,21.210333,1,2,2,1,4
19,1023,36.823563,1,3,2,1,4
19,147,31.69231,2,1,2,1,4
19,162,33.534744,2,2,2,1,4
19,446,81.5126,2,3,2,1,4
19,153,28.467508,3,1,2,1,4
19,179,30.956415,3,2,2,1,4
19,250,50.93974,3,3,2,1,4
19,445,1.7834448,4,1,2,1,4
19,712,NaN,4,2,2,1,4
19,799,NaN,4,3,2,1,4
20,0,0,1,1,2,4,1
20,1010,16.280273,1,2,2,4,1
20,1023,36.823563,1,3,2,4,1
20,33,12.914734,2,1,2,4,1
20,70,20.657278,2,2,2,4,1
20,107,18.857014,2,3,2,4,1
20,137,21.241827,3,1,2,4,1
20,170,30.533098,3,2,2,4,1
20,206,41.201164,3,3,2,4,1
20,318,1.6732078,4,1,2,4,1
20,734,NaN,4,2,2,4,1
20,875,NaN,4,3,2,4,1
21,1,4.2652025,1,1,2,3,4
21,1,4.2652025,1,2,2,3,4
21,1022,32.368004,1,3,2,3,4
21,15,16.378475,2,1,2,3,4
21,43,12.465724,2,2,2,3,4
21,88,11.180124,2,3,2,3,4
21,119,18.733015,3,1,2,3,4
21,139,23.520079,3,2,2,3,4
21,153,28.467508,3,3,2,3,4
21,115,1.9486389,4,1,2,3,4
21,446,1.9898843,4,2,2,3,4
21,709,NaN,4,3,2,3,4
22,0,0,1,1,1,3,2
22,1020,29.549076,1,2,1,3,2
22,1023,36.823563,1,3,1,3,2
22,53,14.003432,2,1,1,3,2
22,93,20.467987,2,2,1,3,2
22,336,48.92198,2,3,1,3,2
22,142,23.203163,3,1,1,3,2
22,183,33.34061,3,2,1,3,2
22,261,49.57746,3,3,1,3,2
22,108,2.545769,4,1,1,3,2
22,510,1.9695836,4,2,1,3,2
22,834,NaN,4,3,1,3,2
23,1008,15.706065,1,1,1,2,3
23,1023,36.823563,1,2,1,2,3
23,1023,36.823563,1,3,1,2,3
23,207,20.0,2,1,1,2,3
23,459,73.00678,2,2,1,2,3
23,408,NaN,2,3,1,2,3
23,192,37.665062,3,1,1,2,3
23,349,NaN,3,2,1,2,3
23,253,53.41581,3,3,1,2,3
23,358,1.7610756,4,1,1,2,3
23,877,NaN,4,2,1,2,3
23,896,NaN,4,3,1,2,3
24,1,4.2652025,1,1,1,3,2
24,1023,36.823563,1,2,1,3,2
24,1023,36.823563,1,3,1,3,2
24,38,11.82197,2,1,1,3,2
24,420,71.278435,2,2,1,3,2
24,568,108.84831,2,3,1,3,2
24,118,18.576075,3,1,1,3,2
24,216,43.90638,3,2,1,3,2
24,228,47.877167,3,3,1,3,2
24,98,2.756723,4,1,1,3,2
24,821,NaN,4,2,1,3,2
24,859,NaN,4,3,1,3,2
