Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition, Pressure
120241, 0, 6, 0, 30, 289, 0, 0, 0
120241, 0, 6, 0, 30, 1561, 0, 0, 0
120241, 0, 6, 0, 30, 1580, 0, 0, 0
120241, 0, 6, 0, 30, 1595, 0, 0, 0
120241, 0, 6, 0, 30, 1611, 0, 0, 0
120241, 0, 6, 0, 30, 1629, 0, 0, 0
120241, 0, 6, 0, 30, 1648, 0, 0, 0
120241, 0, 6, 0, 30, 1661, 0, 0, 0
120241, 0, 6, 0, 30, 1678, 0, 0, 0
120241, 0, 6, 0, 30, 1696, 0, 0, 0
120241, 0, 6, 0, 30, 1713, 0, 0, 0
120241, 0, 6, 0, 30, 1730, 0, 0, 0
120241, 0, 6, 0, 30, 1747, 0, 0, 0
120241, 0, 6, 0, 30, 1762, 0, 0, 0
34, 0, 4, 0, 31, 1781, 0, 0, 0
49, 0, 5, 0, 31, 1797, 0, 0, 0
64, 0, 5, 0, 31, 1811, 0, 0, 0
78, 0, 5, 0, 30, 1828, 0, 0, 0
99, 0, 5, 0, 31, 1847, 0, 0, 0
113, 0, 5, 0, 31, 1862, 0, 0, 0
129, 0, 5, 0, 30, 1880, 0, 0, 0
148, 0, 5, 0, 30, 1896, 0, 0, 0
163, 0, 5, 0, 30, 1913, 0, 0, 0
179, 0, 5, 0, 31, 1929, 0, 0, 0
198, 0, 4, 0, 31, 1945, 0, 0, 0
214, 0, 4, 0, 30, 1963, 0, 0, 0
228, 0, 4, 0, 31, 1980, 0, 0, 0
243, 0, 4, 0, 31, 1997, 0, 0, 0
264, 0, 5, 0, 31, 2012, 0, 0, 0
278, 0, 4, 0, 30, 2029, 0, 0, 0
299, 0, 4, 0, 31, 2047, 0, 0, 0
314, 0, 4, 0, 30, 2063, 0, 0, 0
333, 0, 5, 0, 31, 2081, 0, 0, 0
349, 0, 5, 0, 30, 2097, 0, 0, 0
363, 0, 4, 0, 30, 2112, 0, 0, 0
378, 0, 5, 0, 30, 2131, 0, 0, 0
399, 0, 5, 0, 30, 2146, 0, 0, 0
413, 0, 5, 0, 30, 2162, 0, 0, 0
429, 0, 4, 0, 30, 2178, 0, 0, 0
444, 0, 5, 0, 30, 2197, 0, 0, 0
463, 0, 5, 0, 30, 2212, 0, 0, 0
479, 0, 4, 0, 31, 2230, 0, 0, 0
493, 0, 5, 0, 30, 2244, 0, 0, 0
514, 0, 5, 0, 30, 2262, 0, 0, 0
534, 0, 5, 0, 30, 2280, 0, 0, 0
548, 0, 5, 0, 30, 2298, 0, 0, 0
559, 0, 4, 0, 30, 2311, 0, 0, 0
578, 0, 5, 0, 31, 2331, 0, 0, 0
599, 0, 5, 0, 31, 2348, 0, 0, 0
614, 0, 5, 0, 30, 2362, 0, 0, 0
628, 0, 5, 0, 30, 2379, 0, 0, 0
649, 0, 4, 0, 31, 2396, 0, 0, 0
664, 0, 5, 0, 30, 2413, 0, 0, 0
678, 0, 4, 0, 30, 2430, 0, 0, 0
