Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition, Pressure
22091, 0, 23, 0, 27, 212, 0, 0, 0
22091, 0, 23, 0, 27, 1583, 0, 0, 0
22091, 0, 23, 0, 27, 1601, 0, 0, 0
22091, 0, 23, 0, 27, 1618, 0, 0, 0
22091, 0, 23, 0, 27, 1635, 0, 0, 0
22091, 0, 23, 0, 27, 1651, 0, 0, 0
22091, 0, 23, 0, 27, 1669, 0, 0, 0
22091, 0, 23, 0, 27, 1684, 0, 0, 0
19, 0, 22, 0, 22, 1699, 0, 0, 0
34, 0, 21, 0, 21, 1716, 0, 0, 0
54, 0, 23, 0, 26, 1734, 0, 0, 0
69, 0, 22, 0, 25, 1751, 0, 0, 0
84, 0, 22, 0, 25, 1769, 0, 0, 0
99, 0, 22, 0, 24, 1785, 0, 0, 0
119, 0, 22, 0, 24, 1801, 0, 0, 0
140, 0, 22, 0, 23, 1818, 0, 0, 0
149, 0, 21, 0, 22, 1833, 0, 0, 0
169, 0, 21, 0, 22, 1852, 0, 0, 0
185, 0, 22, 0, 22, 1866, 0, 0, 0
200, 0, 21, 0, 23, 1885, 0, 0, 0
216, 0, 22, 0, 23, 1899, 0, 0, 0
230, 0, 21, 0, 19, 1917, 0, 0, 0
250, 0, 22, 0, 23, 1933, 0, 0, 0
271, 0, 22, 0, 23, 1951, 0, 0, 0
286, 0, 23, 0, 23, 1968, 0, 0, 0
301, 0, 23, 0, 23, 1983, 0, 0, 0
316, 0, 21, 0, 23, 2001, 0, 0, 0
336, 0, 22, 0, 21, 2017, 0, 0, 0
352, 0, 21, 0, 21, 2033, 0, 0, 0
371, 0, 23, 0, 21, 2053, 0, 0, 0
381, 0, 22, 0, 20, 2067, 0, 0, 0
402, 0, 21, 0, 20, 2083, 0, 0, 0
417, 0, 22, 0, 21, 2100, 0, 0, 0
432, 0, 21, 0, 21, 2116, 0, 0, 0
447, 0, 21, 0, 23, 2133, 0, 0, 0
467, 0, 22, 0, 22, 2150, 0, 0, 0
488, 0, 21, 0, 23, 2166, 0, 0, 0
502, 0, 21, 0, 24, 2183, 0, 0, 0
518, 0, 21, 0, 21
, 2199, 0, 0, 0
533, 0, 21, 0, 23, 2219, 0, 0, 0
553, 0, 22, 0, 24, 2232, 0, 0, 0
568, 0, 22, 0, 24, 2251, 0, 0, 0
583, 0, 22, 0, 24, 2267, 0, 0, 0
599, 0, 22, 0, 25, 2285, 0, 0, 0
619, 0, 23, 0, 26, 2299, 0, 0, 0
634, 0, 22, 0, 25, 2318, 0, 0, 0
649, 0, 22, 0, 25, 2334, 0, 0, 0
664, 0, 22, 0, 25, 2350, 0, 0, 0
685, 0, 22, 0, 22, 2367, 0, 0, 0
700, 0, 22, 0, 22, 2383, 0, 0, 0
714, 0, 22, 0, 24, 2399, 0, 0, 0
735, 0, 23, 0, 23, 2417, 0, 0, 0
750, 0, 22, 0, 24, 2434, 0, 0, 0
771, 0, 22, 0, 23, 2450, 0, 0, 0
785, 0, 22, 0, 25, 2466, 0, 0, 0
800, 0, 22, 0, 24, 2484, 0, 0, 0
816, 0, 23, 0, 23, 2500, 0, 0, 0
836, 0, 23, 0, 24, 2517, 0, 0, 0
850, 0, 24, 0, 22, 2533, 0, 0, 0
866, 0, 24, 0, 23, 2551, 0, 0, 0
881, 0, 24, 0, 23, 2567, 0, 0, 0
902, 0, 23, 0, 23, 2583, 0, 0, 0
917, 0, 23, 0, 23, 2600, 0, 0, 0
931, 0, 24, 0, 23, 2616, 0, 0, 0
947, 0, 24, 0, 22, 2633, 0, 0, 0
967, 0, 22, 0, 23, 2650, 0, 0, 0
983, 0, 23, 0, 22, 2666, 0, 0, 0
1002, 0, 23, 0, 22, 2683, 0, 0, 0
1017, 0, 24, 0, 22, 2700, 0, 0, 0
1033, 0, 23, 0, 23, 2716, 0, 0, 0
1048, 0, 24, 0, 24, 2735, 0, 0, 0
1069, 0, 24, 0, 23, 2750, 0, 0, 0
1084, 0, 24, 0, 23, 2767, 0, 0, 0
1099, 0, 23, 0, 24, 2783, 0, 0, 0
1115, 0, 24, 0, 23, 2799, 0, 0, 0
1135, 0, 24, 0, 23, 2817, 0, 0, 0
1149, 0, 24, 0, 23, 2834, 0, 0, 0
1170, 0, 23, 0, 23, 2852, 0, 0, 0
1180, 0, 24, 0, 23, 2867, 0, 0, 0
1201, 0, 23, 0, 23, 2883, 0, 0, 0
1216, 0, 24, 0, 22, 2900, 0, 0, 0
1236, 0, 23, 0, 21, 2916, 0, 0, 0
1252, 0, 24, 0, 23, 2933, 0, 0, 0
1267, 0, 23, 0, 23, 2949, 0, 0, 0
1283, 0, 23, 0, 24, 2967, 0, 0, 0
1298, 0, 23, 0, 24, 2983, 0, 0, 0
1318, 0, 23, 0, 25, 3000, 0, 0, 0
1334, 0, 22, 0, 26, 3017, 0, 0, 0
1349, 0, 22, 0, 24, 3033, 0, 0, 0
1363, 0, 22, 0, 24, 3050, 0, 0, 0
1384, 0, 23, 0, 25, 3067, 0, 0, 0
1399, 0, 24, 0, 22, 3083, 0, 0, 0
1415, 0, 22, 0, 22, 3099, 0, 0, 0
1430, 0, 23, 0, 23, 3116, 0, 0, 0
1445, 0, 22, 0, 23, 3133, 0, 0, 0
1466, 0, 23, 0, 23, 3150, 0, 0, 0
1481, 0, 22, 0, 23, 3166, 0, 0, 0
1502, 0, 22, 0, 22, 3184, 0, 0, 0
1517, 0, 23, 0, 24, 3200, 0, 0, 0
1532, 0, 22, 0, 25, 3217, 0, 0, 0
1548, 0, 22, 0, 23, 3234, 0, 0, 0
1567, 0, 21, 0, 24, 3250, 0, 0, 0
1583, 0, 23, 0, 24, 3267, 0, 0, 0
1598, 0, 23, 0, 24, 3283, 0, 0, 0
1613, 0, 22, 0, 24, 3300, 0, 0, 0
1634, 0, 22, 0, 24, 3317, 0, 0, 0
1649, 0, 22, 0, 24, 3333, 0, 0, 0
1665, 0, 21, 0, 23, 3350, 0, 0, 0
1680, 0, 22, 0, 24, 3366, 0, 0, 0
1695, 0, 22, 0, 22, 3383, 0, 0, 0
1716, 0, 22, 0, 23, 3400, 0, 0, 0
1736, 0, 19, 0, 24, 3418, 0, 0, 0
1752, 0, 17, 0, 23, 3433, 0, 0, 0
1766, 0, 17, 0, 23, 3450, 0, 0, 0
1781, 0, 15, 0, 23, 3466, 0, 0, 0
1797, 0, 15, 0, 23, 3483, 0, 0, 0
1817, 0, 12, 0, 23, 3500, 0, 0, 0
1832, 0, 11, 0, 22, 3517, 0, 0, 0
1848, 0, 9, 0, 22, 3533, 0, 0, 0
1863, 0, 9, 0, 23, 3550, 0, 0, 0
1884, 0, 9, 0, 21, 3566, 0, 0, 0
1903, 0, 8, 0, 22, 3584, 0, 0, 0
1913, 0, 8, 0, 22, 3600, 0, 0, 0
1934, 0, 7, 0, 22, 3616, 0, 0, 0
1949, 0, 7, 0, 22, 3633, 0, 0, 0
1969, 0, 8, 0, 22, 3651, 0, 0, 0
1984, 0, 6, 0, 21, 3666, 0, 0, 0
1999, 0, 5, 0, 23, 3684, 0, 0, 0
2015, 0, 5, 0, 22, 3700, 0, 0, 0
2035, 0, 4, 0, 23, 3716, 0, 0, 0
2050, 0, 4, 0, 22, 3733, 0, 0, 0
2065, 0, 3, 0, 23, 3750, 0, 0, 0
2080, 0, 4, 0, 20, 3766, 0, 0, 0
2101, 0, 4, 0, 22, 3783, 0, 0, 0
2116, 0, 4, 0, 22, 3801, 0, 0, 0
2130, 0, 4, 0, 23, 3817, 0, 0, 0
2146, 0, 2, 0, 23, 3833, 0, 0, 0
2166, 0, 3, 0, 21, 3850, 0, 0, 0
2182, 0, 3, 0, 24, 3866, 0, 0, 0
2201, 0, 2, 0, 23, 3883, 0, 0, 0
2216, 0, 2, 0, 24, 3902, 0, 0, 0
2232, 0, 3, 0, 23, 3917, 0, 0, 0
2252, 0, 2, 0, 23, 3933, 0, 0, 0
2268, 0, 3, 0, 21, 3950, 0, 0, 0
2282, 0, 2, 0, 22, 3966, 0, 0, 0
2297, 0, 1, 0, 23, 3983, 0, 0, 0
2318, 0, 2, 0, 23, 4000, 0, 0, 0
2333, 0, 3, 0, 22, 4017, 0, 0, 0
2348, 0, 2, 0, 20, 4034, 0, 0, 0
2363, 0, 2, 0, 21, 4050, 0, 0, 0
2383, 0, 2, 0, 21, 4067, 0, 0, 0
2399, 0, 2, 0, 25, 4083, 0, 0, 0
2419, 0, 0, 0, 24, 4101, 0, 0, 0
2434, 0, 1, 0, 24, 4117, 0, 0, 0
2449, 0, 1, 0, 24, 4133, 0, 0, 0
2469, 0, 1, 0, 24, 4150, 0, 0, 0
2485, 0, 1, 0, 24, 4166, 0, 0, 0
2499, 0, 1, 0, 24, 4183, 0, 0, 0
2514, 0, 0, 0, 25, 4200, 0, 0, 0
2530, 0, 1, 0, 24, 4216, 0, 0, 0
2550, 0, 1, 0, 24, 4233, 0, 0, 0
2566, 0, 1, 0, 23, 4251, 0, 0, 0
2580, 0, 0, 0, 22, 4267, 0, 0, 0
2595, 0, 1, 0, 21, 4283, 0, 0, 0
2616, 0, 1, 0, 24, 4300, 0, 0, 0
2636, 0, 1, 0, 21, 4318, 0, 0, 0
2651, 0, 1, 0, 21, 4336, 0, 0, 0
2666, 0, 2, 0, 21, 4350, 0, 0, 0
2681, 0, 1, 0, 21, 4366, 0, 0, 0
2702, 0, 1, 0, 21, 4383, 0, 0, 0
2717, 0, 1, 0, 21, 4400, 0, 0, 0
2732, 0, 1, 0, 21, 4417, 0, 0, 0
