Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition, Pressure
320419, 0, 50, 0, 31, 210, 0, 0, 0
320419, 0, 50, 0, 31, 1567, 0, 0, 0
320419, 0, 50, 0, 31, 1583, 0, 0, 0
320419, 0, 50, 0, 31, 1627, 0, 0, 0
320419, 0, 50, 0, 31, 1645, 0, 0, 0
320419, 0, 50, 0, 31, 1660, 0, 0, 0
320419, 0, 50, 0, 31, 1678, 0, 0, 0
320419, 0, 50, 0, 31, 1694, 0, 0, 0
19, 0, 50, 0, 29, 1711, 0, 0, 0
34, 0, 50, 0, 30, 1728, 0, 0, 0
49, 0, 49, 0, 30, 1744, 0, 0, 0
64, 0, 50, 0, 30, 1761, 0, 0, 0
84, 0, 50, 0, 30, 1778, 0, 0, 0
99, 0, 50, 0, 30, 1794, 0, 0, 0
114, 0, 50, 0, 30, 1812, 0, 0, 0
130, 0, 50, 0, 31, 1828, 0, 0, 0
150, 0, 50, 0, 31, 1845, 0, 0, 0
169, 0, 50, 0, 30, 1861, 0, 0, 0
185, 0, 50, 0, 30, 1879, 0, 0, 0
195, 0, 50, 0, 30, 1894, 0, 0, 0
216, 0, 49, 0, 30, 1916, 0, 0, 0
235, 0, 51, 0, 30, 1928, 0, 0, 0
250, 0, 50, 0, 30, 1945, 0, 0, 0
266, 0, 50, 0, 31, 1962, 0, 0, 0
281, 0, 50, 0, 30, 1980, 0, 0, 0
301, 0, 51, 0, 28, 2002, 0, 0, 0
321, 0, 50, 0, 30, 2016, 0, 0, 0
342, 0, 51, 0, 31, 2035, 0, 0, 0
357, 0, 51, 0, 30, 2050, 0, 0, 0
366, 0, 50, 0, 30, 2067, 0, 0, 0
392, 0, 51, 0, 30, 2092, 0, 0, 0
407, 0, 51, 0, 30, 2104, 0, 0, 0
422, 0, 51, 0, 31, 2121, 0, 0, 0
442, 0, 50, 0, 30, 2136, 0, 0, 0
457, 0, 51, 0, 30, 2155, 0, 0, 0
473, 0, 50, 0, 31, 2170, 0, 0, 0
493, 0, 51, 0, 31, 2186, 0, 0, 0
507, 0, 51, 0, 31, 2203, 0, 0, 0
523, 0, 50, 0, 31, 2220, 0, 0, 0
538, 0, 50, 0, 30, 2236, 0, 0, 0
559, 0, 50, 0, 31, 2252, 0, 0, 0
574, 0, 50, 0, 31, 2269, 0, 0, 0
588, 0, 50, 0, 30, 2286, 0, 0, 0
604, 0, 50, 0, 30, 2303, 0, 0, 0
624, 0, 51, 0, 30, 2320, 0, 0, 0
645, 0, 51, 0, 30, 2337, 0, 0, 0
654, 0, 51, 0, 30, 2352, 0, 0, 0
669, 0, 51, 0, 30, 2369, 0, 0, 0
690, 0, 52, 0, 31, 2387, 0, 0, 0
705, 0, 49, 0, 30, 2402, 0, 0, 0
726, 0, 49, 0, 31, 2422, 0, 0, 0
740, 0, 50, 0, 31, 2436, 0, 0, 0
755, 0, 50, 0, 31, 2455, 0, 0, 0
776, 0, 49, 0, 30, 2470, 0, 0, 0
796, 0, 52, 0, 31, 2488, 0, 0, 0
811, 0, 50, 0, 30, 2505, 0, 0, 0
826, 0, 51, 0, 30, 2522, 0, 0, 0
841, 0, 51, 0, 30, 2537, 0, 0, 0
857, 0, 51, 0, 30, 2553, 0, 0, 0
876, 0, 51, 0, 31, 2571, 0, 0, 0
891, 0, 50, 0, 32, 2586, 0, 0, 0
907, 0, 50, 0, 30, 2603, 0, 0, 0
922, 0, 50, 0, 29, 2619, 0, 0, 0
943, 0, 51, 0, 30, 2636, 0, 0, 0
957, 0, 51, 0, 31, 2653, 0, 0, 0
972, 0, 51, 0, 30, 2669, 0, 0, 0
993, 0, 50, 0, 30, 2687, 0, 0, 0
1008, 0, 50, 0, 30, 2704, 0, 0, 0
1024, 0, 49, 0, 31, 2720, 0, 0, 0
1039, 0, 50, 0, 30, 2736, 0, 0, 0
1058, 0, 50, 0, 30, 2754, 0, 0, 0
1074, 0, 50, 0, 30, 2769, 0, 0, 0
1089, 0, 50, 0, 30, 2787, 0, 0, 0
1104, 0, 50, 0, 30, 2802, 0, 0, 0
1120, 0, 50, 0, 29, 2819, 0, 0, 0
1140, 0, 50, 0, 29, 2836, 0, 0, 0
1156, 0, 50, 0, 29, 2853, 0, 0, 0
1176, 0, 51, 0, 30, 2869, 0, 0, 0
1191, 0, 50, 0, 29, 2887, 0, 0, 0
1207, 0, 51, 0, 30, 2904, 0, 0, 0
1222, 0, 50, 0, 30, 2920, 0, 0, 0
1243, 0, 50, 0, 29, 2935, 0, 0, 0
1257, 0, 51, 0, 29, 2953, 0, 0, 0
1272, 0, 51, 0, 29, 2971, 0, 0, 0
1288, 0, 51, 0, 30, 2988, 0, 0, 0
1308, 0, 52, 0, 31, 3005, 0, 0, 0
1324, 0, 53, 0, 30, 3020, 0, 0, 0
1339, 0, 51, 0, 31, 3036, 0, 0, 0
1354, 0, 50, 0, 30, 3053, 0, 0, 0
1370, 0, 51, 0, 30, 3069, 0, 0, 0
1390, 0, 51, 0, 29, 3086, 0, 0, 0
1411, 0, 52, 0, 29, 3103, 0, 0, 0
1426, 0, 52, 0, 31, 3120, 0, 0, 0
1441, 0, 52, 0, 30, 3137, 0, 0, 0
1457, 0, 50, 0, 31, 3153, 0, 0, 0
1471, 0, 51, 0, 30, 3171, 0, 0, 0
1491, 0, 51, 0, 31, 3186, 0, 0, 0
1507, 0, 50, 0, 29, 3203, 0, 0, 0
1522, 0, 51, 0, 30, 3221, 0, 0, 0
1538, 0, 52, 0, 29, 3237, 0, 0, 0
1558, 0, 52, 0, 30, 3253, 0, 0, 0
1573, 0, 52, 0, 29, 3270, 0, 0, 0
1589, 0, 52, 0, 30, 3286, 0, 0, 0
1604, 0, 52, 0, 30, 3302, 0, 0, 0
1625, 0, 52, 0, 30, 3321, 0, 0, 0
1640, 0, 52, 0, 31, 3337, 0, 0, 0
1660, 0, 52, 0, 30, 3353, 0, 0, 0
1675, 0, 52, 0, 30, 3370, 0, 0, 0
1690, 0, 51, 0, 29, 3387, 0, 0, 0
1705, 0, 51, 0, 30, 3402, 0, 0, 0
1721, 0, 51, 0, 30, 3420, 0, 0, 0
1741, 0, 51, 0, 31, 3437, 0, 0, 0
1757, 0, 52, 0, 30, 3453, 0, 0, 0
1772, 0, 53, 0, 31, 3469, 0, 0, 0
1787, 0, 53, 0, 31, 3486, 0, 0, 0
1808, 0, 52, 0, 31, 3503, 0, 0, 0
1823, 0, 52, 0, 30, 3520, 0, 0, 0
1839, 0, 51, 0, 30, 3536, 0, 0, 0
1854, 0, 52, 0, 31, 3552, 0, 0, 0
1873, 0, 51, 0, 31, 3570, 0, 0, 0
1889, 0, 51, 0, 29, 3586, 0, 0, 0
1909, 0, 51, 0, 32, 3603, 0, 0, 0
1920, 0, 52, 0, 31, 3619, 0, 0, 0
1940, 0, 51, 0, 30, 3637, 0, 0, 0
1955, 0, 50, 0, 31, 3654, 0, 0, 0
1976, 0, 50, 0, 31, 3670, 0, 0, 0
1991, 0, 51, 0, 30, 3687, 0, 0, 0
2007, 0, 50, 0, 31, 3703, 0, 0, 0
2022, 0, 51, 0, 30, 3719, 0, 0, 0
2037, 0, 52, 0, 30, 3737, 0, 0, 0
2058, 0, 51, 0, 31, 3753, 0, 0, 0
2072, 0, 51, 0, 29, 3770, 0, 0, 0
2093, 0, 51, 0, 30, 3788, 0, 0, 0
2103, 0, 51, 0, 30, 3802, 0, 0, 0
2118, 0, 52, 0, 31, 3818, 0, 0, 0
2139, 0, 51, 0, 30, 3836, 0, 0, 0
2159, 0, 51, 0, 30, 3853, 0, 0, 0
2174, 0, 50, 0, 31, 3870, 0, 0, 0
2190, 0, 51, 0, 30, 3887, 0, 0, 0
2205, 0, 52, 0, 30, 3903, 0, 0, 0
2226, 0, 51, 0, 30, 3921, 0, 0, 0
2241, 0, 50, 0, 31, 3936, 0, 0, 0
2256, 0, 51, 0, 29, 3953, 0, 0, 0
2271, 0, 50, 0, 29, 3970, 0, 0, 0
2286, 0, 51, 0, 30, 3987, 0, 0, 0
2307, 0, 51, 0, 31, 4003, 0, 0, 0
2322, 0, 51, 0, 30, 4019, 0, 0, 0
2337, 0, 52, 0, 31, 4036, 0, 0, 0
2353, 0, 51, 0, 31, 4053, 0, 0, 0
2373, 0, 51, 0, 30, 4070, 0, 0, 0
2388, 0, 51, 0, 31, 4087, 0, 0, 0
2409, 0, 52, 0, 30, 4103, 0, 0, 0
2424, 0, 52, 0, 31, 4120, 0, 0, 0
2435, 0, 52, 0, 30, 4135, 0, 0, 0
2455, 0, 52, 0, 30, 4153, 0, 0, 0
2475, 0, 53, 0, 31, 4169, 0, 0, 0
2490, 0, 52, 0, 31, 4186, 0, 0, 0
2505, 0, 52, 0, 30, 4205, 0, 0, 0
2521, 0, 52, 0, 29, 4219, 0, 0, 0
2536, 0, 52, 0, 30, 4235, 0, 0, 0
2556, 0, 53, 0, 31, 4253, 0, 0, 0
2572, 0, 53, 0, 30, 4269, 0, 0, 0
2592, 0, 53, 0, 29, 4288, 0, 0, 0
2608, 0, 53, 0, 29, 4304, 0, 0, 0
2618, 0, 54, 0, 30, 4319, 0, 0, 0
2638, 0, 53, 0, 30, 4336, 0, 0, 0
2654, 0, 53, 0, 29, 4352, 0, 0, 0
2673, 0, 52, 0, 30, 4370, 0, 0, 0
2689, 0, 52, 0, 31, 4387, 0, 0, 0
2704, 0, 52, 0, 30, 4403, 0, 0, 0
2724, 0, 52, 0, 30, 4420, 0, 0, 0
2740, 0, 51, 0, 31, 4437, 0, 0, 0
2755, 0, 51, 0, 30, 4453, 0, 0, 0
2770, 0, 51, 0, 29, 4470, 0, 0, 0
2791, 0, 52, 0, 30, 4488, 0, 0, 0
2806, 0, 52, 0, 30, 4503, 0, 0, 0
2822, 0, 52, 0, 31, 4519, 0, 0, 0
2842, 0, 52, 0, 30, 4537, 0, 0, 0
2857, 0, 52, 0, 31, 4554, 0, 0, 0
2873, 0, 52, 0, 30, 4570, 0, 0, 0
2887, 0, 52, 0, 30, 4587, 0, 0, 0
2908, 0, 51, 0, 29, 4604, 0, 0, 0
2923, 0, 51, 0, 31, 4620, 0, 0, 0
2938, 0, 51, 0, 29, 4637, 0, 0, 0
2954, 0, 52, 0, 30, 4654, 0, 0, 0
2974, 0, 52, 0, 31, 4670, 0, 0, 0
2990, 0, 51, 0, 29, 4686, 0, 0, 0
3005, 0, 51, 0, 31, 4703, 0, 0, 0
3020, 0, 52, 0, 29, 4720, 0, 0, 0
3036, 0, 52, 0, 30, 4737, 0, 0, 0
3056, 0, 51, 0, 31, 4754, 0, 0, 0
3077, 0, 50, 0, 30, 4771, 0, 0, 0
3091, 0, 53, 0, 30, 4788, 0, 0, 0
3106, 0, 51, 0, 31, 4803, 0, 0, 0
3122, 0, 50, 0, 30, 4819, 0, 0, 0
3137, 0, 51, 0, 30, 4836, 0, 0, 0
3158, 0, 51, 0, 30, 4854, 0, 0, 0
3173, 0, 51, 0, 29, 4870, 0, 0, 0
3188, 0, 51, 0, 30, 4886, 0, 0, 0
3204, 0, 50, 0, 30, 4903, 0, 0, 0
3224, 0, 50, 0, 30, 4919, 0, 0, 0
3239, 0, 51, 0, 30, 4936, 0, 0, 0
3255, 0, 51, 0, 30, 4953, 0, 0, 0
3270, 0, 51, 0, 30, 4969, 0, 0, 0
3286, 0, 52, 0, 30, 4986, 0, 0, 0
3305, 0, 50, 0, 30, 5002, 0, 0, 0
3325, 0, 51, 0, 31, 5021, 0, 0, 0
3341, 0, 51, 0, 30, 5036, 0, 0, 0
3356, 0, 51, 0, 30, 5053, 0, 0, 0
3372, 0, 51, 0, 30, 5070, 0, 0, 0
3392, 0, 51, 0, 30, 5087, 0, 0, 0
3407, 0, 50, 0, 30, 5103, 0, 0, 0
3423, 0, 50, 0, 30, 5119, 0, 0, 0
3438, 0, 51, 0, 30, 5136, 0, 0, 0
3453, 0, 50, 0, 30, 5154, 0, 0, 0
3474, 0, 51, 0, 30, 5170, 0, 0, 0
3489, 0, 50, 0, 30, 5187, 0, 0, 0
3504, 0, 51, 0, 30, 5204, 0, 0, 0
3519, 0, 51, 0, 29, 5219, 0, 0, 0
3539, 0, 51, 0, 30, 5238, 0, 0, 0
3555, 0, 51, 0, 30, 5253, 0, 0, 0
3575, 0, 51, 0, 30, 5270, 0, 0, 0
3591, 0, 51, 0, 29, 5286, 0, 0, 0
3606, 0, 51, 0, 31, 5303, 0, 0, 0
3621, 0, 51, 0, 31, 5319, 0, 0, 0
3642, 0, 52, 0, 30, 5338, 0, 0, 0
3657, 0, 53, 0, 30, 5354, 0, 0, 0
3673, 0, 52, 0, 31, 5370, 0, 0, 0
3688, 0, 52, 0, 30, 5387, 0, 0, 0
3702, 0, 51, 0, 31, 5404, 0, 0, 0
3723, 0, 51, 0, 30, 5420, 0, 0, 0
3738, 0, 52, 0, 29, 5437, 0, 0, 0
